open,high,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,close,yc_close
13.97,13.99,13.71,722780.81,-0.25,-1.79,13.794,13.807,13.734,774366.8,728411.11,853975.61,13.75,13.70978064
14.03,14.12,13.84,841282.75,-0.12,-0.85,13.762,13.85,13.686,728669.86,761407.52,842014.32,14,13.8634642
13.6,14.23,13.58,1465366.5,0.58,4.28,13.68,13.843,13.62,716096.1,773342.84,830940.98,14.12,14.05953597
13.68,13.78,13.53,484183.12,-0.02,-0.15,13.64,13.809,13.538,572862.01,676615.56,781832.24,13.54,13.61723078
13.61,13.7,13.49,358220.81,-0.03,-0.22,13.73,13.826,13.491,600283.89,720704.74,784123.1,13.56,13.58555774
13.63,13.71,13.44,494296.12,0,0,13.82,13.807,13.441,682455.42,739533.14,799077.57,13.59,13.6220984
13.82,13.88,13.45,778413.94,-0.33,-2.37,13.938,13.791,13.394,794145.18,837026.23,836917.14,13.59,13.60827202
13.95,13.98,13.69,749196.06,-0.07,-0.5,14.006,13.801,13.332,830589.59,825142.11,855229.88,13.92,13.86827643
14.01,14.28,13.88,621292.5,-0.02,-0.14,13.978,13.773,13.232,780369.11,851335.42,839453.34,13.99,14.03535987
14.18,14.21,13.87,769078.5,-0.17,-1.2,13.922,13.754,13.131,841125.6,942125.32,845833.33,14.01,14.00086537
13.88,14.24,13.86,1052744.88,0.25,1.79,13.794,13.66,13.023,796610.85,979540.11,856112.17,14.18,14.11535784
14.01,14.18,13.87,960636,0.15,1.09,13.644,13.522,12.909,879907.28,922621.13,879110.88,13.93,14.05375012
13.73,13.79,13.58,498093.69,0.07,0.51,13.596,13.396,12.821,819694.64,888539.12,865418.8,13.78,13.73294343
13.5,13.85,13.45,925074.94,0.34,2.54,13.568,13.267,12.743,922301.72,887048.92,872828.34,13.71,13.79729342
13.27,13.5,13.19,546504.75,0.08,0.6,13.586,13.155,12.678,1043125.04,847541.45,859895.17,13.37,13.44625061
13.72,13.72,13.07,1469227,-0.26,-1.9,13.526,13.075,12.634,1162469.36,858622,876605.09,13.43,13.45116261
13.69,13.83,13.61,659572.81,0.05,0.37,13.4,12.997,12.581,965334.99,836808.05,855565.04,13.69,13.69852396
13.76,13.87,13.58,1011129.12,-0.16,-1.16,13.196,12.862,12.514,957383.6,885317.64,847362.71,13.64,13.59748025
13.17,13.95,13.12,1529191.5,0.73,5.58,12.966,12.69,12.446,851796.12,827571.26,830149.03,13.8,13.73182173
13.29,13.39,13.01,1143226.38,0.27,2.11,12.724,12.507,12.376,651957.87,749541.34,779000.99,13.07,13.28932429
12.67,12.85,12.59,483555.12,0.13,1.03,12.624,12.385,12.351,554774.63,732684.24,758400.19,12.8,12.7581723
12.48,12.79,12.48,619815.88,0.18,1.44,12.594,12.295,12.33,708281.11,835600.63,773544.2,12.67,12.69930925
12.59,12.69,12.45,483191.72,-0.1,-0.79,12.528,12.246,12.318,813251.68,842298.48,790803.45,12.49,12.53919961
12.54,12.68,12.43,530000.25,0.02,0.16,12.414,12.219,12.336,803346.39,858607.77,798388.93,12.59,12.55368419
12.63,12.66,12.44,657310.19,-0.08,-0.63,12.29,12.2,12.353,847124.81,872248.89,827088.34,12.57,12.50367203
12.34,12.72,12.3,1251087.5,0.31,2.51,12.146,12.192,12.349,910593.84,894588.18,853352.74,12.65,12.59972055
12.01,12.47,11.98,1144668.75,0.42,3.52,11.996,12.164,12.331,962920.14,874322.03,827894.25,12.34,12.39619294
